latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.12458,32.68635,304.11,0.33,0.55,2023-01-01,0000,N,VIIRS,n,2,288.19,0.92,N,2
14.40167,24.02738,303.74,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.56,2,N,0
14.39836,24.02682,331.79,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,287.2,2.28,N,0
14.40877,24.04685,301.78,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.28,1.09,N,0
14.39779,24.03038,296.19,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.63,1.18,N,0
14.39504,24.02627,325.27,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,286.33,2.28,N,0
14.39561,24.02271,319.86,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.93,2.28,N,0
14.3923,24.02215,301.35,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.27,0.53,N,0
14.37299,24.01525,297.48,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.14,0.4,N,0
14.0691,23.49916,295.55,0.38,0.36,2023-01-01,0001,N,VIIRS,n,2,284.1,0.31,N,0
14.40763,24.05397,302.85,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,284.29,0.61,N,0
14.4099,24.03973,297.05,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,284.96,0.78,N,0
14.40934,24.04329,304.95,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.29,0.78,N,0
14.40716,24.03561,313.42,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.54,1.42,N,0
14.40659,24.03917,311.23,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.59,0.78,N,0
14.40385,24.03505,323.19,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,286.19,2.74,N,0
14.4011,24.03094,347.01,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,288.49,2.74,N,0
14.40442,24.03149,303.74,0.39,0.36,2023-01-01,0001,N,VIIRS,n,2,285.37,2.74,N,0
11.3196,31.1298,302.66,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,286.2,1.38,N,0
11.32459,31.13075,306.58,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,286.22,1.38,N,0
11.32566,31.12498,298.97,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,285.62,1.38,N,0
11.35059,31.12967,306.54,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,287.76,1.6,N,0
11.5706,29.94499,301.27,0.52,0.5,2023-01-01,0001,N,VIIRS,n,2,288.08,0.94,N,0
11.56933,29.9465,306.81,0.52,0.5,2023-01-01,0001,N,VIIRS,n,2,287.91,1.01,N,0
11.34999,31.1302,306.67,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.03,1.67,N,0
11.74944,29.09681,300.66,0.46,0.47,2023-01-01,0001,N,VIIRS,n,2,290.08,1.2,N,0
11.75376,29.09759,311.94,0.46,0.47,2023-01-01,0001,N,VIIRS,n,2,290.26,1.91,N,0
11.53316,30.61241,311.88,0.58,0.52,2023-01-01,0001,N,VIIRS,n,2,287.14,1.78,N,0
11.75883,29.09423,310.8,0.46,0.47,2023-01-01,0001,N,VIIRS,n,2,290.08,1.91,N,0
11.76314,29.09505,300.59,0.46,0.47,2023-01-01,0001,N,VIIRS,n,2,289.1,0.54,N,0
11.52838,30.61143,308.94,0.58,0.52,2023-01-01,0001,N,VIIRS,n,2,286.52,2,N,0
10.65516,30.24985,305.93,0.57,0.52,2023-01-01,0001,N,VIIRS,n,2,290.25,2.14,N,0
10.65419,30.25503,321.18,0.57,0.52,2023-01-01,0001,N,VIIRS,n,2,290.02,1.66,N,0
10.90594,29.71372,305.18,0.52,0.5,2023-01-01,0001,N,VIIRS,n,2,289.91,0.65,N,0
11.71195,25.10289,303.17,0.42,0.38,2023-01-01,0001,N,VIIRS,n,2,288.5,0.76,N,0
11.74925,25.59384,331.57,0.44,0.38,2023-01-01,0001,N,VIIRS,n,2,290.18,3.15,N,0
11.53512,30.60174,308.82,0.58,0.52,2023-01-01,0001,N,VIIRS,n,2,286.29,1.55,N,0
11.74992,25.58983,323,0.44,0.38,2023-01-01,0001,N,VIIRS,n,2,290.24,3.15,N,0
11.75277,25.59445,302.5,0.44,0.38,2023-01-01,0001,N,VIIRS,n,2,289.37,0.98,N,0
11.09702,29.72388,312.01,0.52,0.5,2023-01-01,0001,N,VIIRS,n,2,291.48,1.83,N,0
11.16475,29.58345,301.02,0.5,0.49,2023-01-01,0001,N,VIIRS,n,2,285.57,0.54,N,0
11.16558,29.57888,296.03,0.5,0.49,2023-01-01,0001,N,VIIRS,n,2,285.83,0.67,N,0
11.16926,29.58427,297.39,0.5,0.49,2023-01-01,0001,N,VIIRS,n,2,285.65,1.18,N,0
11.85998,25.60349,312.07,0.44,0.38,2023-01-01,0001,N,VIIRS,n,2,289.17,1.34,N,0
11.17377,29.5851,319.1,0.5,0.49,2023-01-01,0001,N,VIIRS,n,2,287.14,1.18,N,0
11.1791,29.58136,307.81,0.5,0.49,2023-01-01,0001,N,VIIRS,n,2,285.85,1.01,N,0
10.85449,31.38986,297.78,0.34,0.56,2023-01-01,0001,N,VIIRS,n,2,286.55,0.32,N,0
10.86017,31.38779,304.59,0.34,0.56,2023-01-01,0001,N,VIIRS,n,2,285.92,0.94,N,0
10.48273,33.42896,303.03,0.47,0.64,2023-01-01,0001,N,VIIRS,n,2,286.75,2.28,N,0
11.85408,25.74787,299.52,0.45,0.39,2023-01-01,0001,N,VIIRS,n,2,288.83,0.5,N,0
10.91196,31.48815,317.3,0.34,0.56,2023-01-01,0001,N,VIIRS,n,2,287.22,1.48,N,0
11.77539,27.83715,300.58,0.57,0.43,2023-01-01,0001,N,VIIRS,n,2,288.58,1.07,N,0
12.75136,26.99545,305.11,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.45,2.2,N,0
12.75155,26.9976,316.14,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.1,1.97,N,0
12.75075,27.00216,307.84,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.38,1.1,N,0
12.66979,28.41533,319.46,0.4,0.44,2023-01-01,0001,N,VIIRS,n,2,288.98,1.2,N,0
13.28404,25.01195,309.11,0.41,0.37,2023-01-01,0001,N,VIIRS,n,2,285.87,0.68,N,0
12.74863,26.99237,319.39,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.22,1.97,N,0
11.63786,30.03894,307.5,0.53,0.5,2023-01-01,0001,N,VIIRS,n,2,287.94,0.6,N,0
11.64247,30.03977,303.79,0.53,0.5,2023-01-01,0001,N,VIIRS,n,2,288.13,0.6,N,0
11.57819,31.15143,302.09,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.26,2.11,N,0
11.57925,31.14561,305.61,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.85,1.86,N,0
11.79258,29.98701,298.72,0.52,0.5,2023-01-01,0001,N,VIIRS,n,2,287.8,0.55,N,0
11.57754,31.15204,303.3,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.29,1.56,N,0
11.57864,31.14624,306.18,0.63,0.54,2023-01-01,0001,N,VIIRS,n,2,288.66,1.56,N,0
12.51784,26.07742,323.73,0.45,0.39,2023-01-01,0001,N,VIIRS,n,2,289.09,2.47,N,0
13.55394,23.43976,304.87,0.38,0.36,2023-01-01,0001,N,VIIRS,n,2,283.46,0.2,N,0
11.46844,32.17692,304.89,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,282.5,1.38,N,0
11.48505,32.17671,316.29,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.01,1.49,N,0
11.49037,32.17777,304.18,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.12,1.1,N,0
11.49101,32.17436,318.96,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.35,1.1,N,0
11.49165,32.17095,302.85,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,287.72,0.94,N,0
11.49229,32.16754,301.56,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,287.49,0.94,N,0
11.49888,32.1618,307.74,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.15,1.71,N,0
11.4823,32.17776,311.42,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,287.88,0.63,N,0
11.48763,32.17881,301.62,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.11,0.71,N,0
11.48829,32.17541,311.1,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,287.98,0.71,N,0
11.49361,32.17646,303.9,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288,0.71,N,0
11.49427,32.17306,314.09,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.04,1.25,N,0
11.49494,32.16966,304.02,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.05,1.25,N,0
11.49626,32.16286,315.54,0.37,0.58,2023-01-01,0001,N,VIIRS,n,2,288.4,1.53,N,0
12.38358,28.07656,301.07,0.39,0.44,2023-01-01,0001,N,VIIRS,n,2,288.23,0.69,N,0
12.38758,28.07729,315.61,0.39,0.44,2023-01-01,0001,N,VIIRS,n,2,288.54,1.25,N,0
12.64567,26.95539,325.02,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.61,3.17,N,0
12.6494,26.95606,329.25,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.48,3.17,N,0
12.65312,26.95673,324.19,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.15,1.62,N,0
13.27847,25.0033,314.07,0.41,0.37,2023-01-01,0001,N,VIIRS,n,2,286.41,1.4,N,0
12.65685,26.9574,304.38,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.77,1.62,N,0
12.64719,26.95328,325.89,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.11,3.3,N,0
12.65091,26.95394,327.59,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.92,3.3,N,0
12.65464,26.95461,316.01,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.92,1.33,N,0
12.65837,26.95527,306.64,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.36,1.33,N,0
12.66397,26.98919,334.58,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.22,6.93,N,0
12.71268,26.97439,299.14,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,288.72,0.84,N,0
13.28465,25.00821,298.62,0.41,0.37,2023-01-01,0001,N,VIIRS,n,2,286,0.68,N,0
12.72014,26.97573,325.94,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,290.17,3.66,N,0
12.72386,26.97639,328.41,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.36,3.66,N,0
11.87713,32.68222,295.24,0.39,0.6,2023-01-01,0001,N,VIIRS,n,2,276.63,0.77,N,0
12.72759,26.97706,307.21,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.55,2.47,N,0
12.72681,26.98162,331.33,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.3,4.23,N,0
12.73054,26.98229,334.92,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,291.39,4.23,N,0
12.73349,26.98753,301.13,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.17,1.35,N,0
12.73427,26.98296,308.04,0.5,0.41,2023-01-01,0001,N,VIIRS,n,2,289.42,1.35,N,0
