latitude,longitude,landcover_type,elevation
16.12458,32.68635,30,227.18009989824634
14.40167,24.02738,60,649.3855226635279
14.39836,24.02682,30,648.7902458857242
14.40877,24.04685,50,989.5121162455761
14.39779,24.03038,20,801.3623949332937
14.39504,24.02627,30,114.24229690164545
14.39561,24.02271,50,162.51738758060281
14.3923,24.02215,50,377.6265273648269
14.37299,24.01525,10,820.6005059385311
14.0691,23.49916,40,894.1486799095868
14.40763,24.05397,10,951.4130161772028
14.4099,24.03973,50,604.2280414574127
14.40934,24.04329,40,207.7143233092267
14.40716,24.03561,30,119.145220679622
14.40659,24.03917,10,441.54362070973315
14.40385,24.03505,40,368.4708841896876
14.4011,24.03094,10,836.6586476475726
14.40442,24.03149,40,816.643269592662
11.3196,31.1298,20,113.40106822316268
11.32459,31.13075,40,178.7366294469354
11.32566,31.12498,60,752.2379073126197
11.35059,31.12967,20,248.8527068327355
11.5706,29.94499,60,689.554920888193
11.56933,29.9465,20,408.9253340298995
11.34999,31.1302,50,345.2738354805913
11.74944,29.09681,60,895.9401802854702
11.75376,29.09759,60,426.43723062091414
11.53316,30.61241,50,913.1373204351346
11.75883,29.09423,50,259.3474309976424
11.76314,29.09505,40,992.2777516378754
11.52838,30.61143,40,460.60401052923646
10.65516,30.24985,30,411.2458992384278
10.65419,30.25503,20,761.1425584190836
10.90594,29.71372,20,447.1702871435583
11.71195,25.10289,20,666.008682957918
11.74925,25.59384,30,698.8590433916825
11.53512,30.60174,30,635.1612471696101
11.74992,25.58983,60,786.8390521199535
11.75277,25.59445,30,550.3119989046829
11.09702,29.72388,10,377.31352489253584
11.16475,29.58345,30,328.3264164215287
11.16558,29.57888,60,153.54301195610995
11.16926,29.58427,60,397.800746446766
11.85998,25.60349,50,939.8539108527883
11.17377,29.5851,40,342.23824637384416
11.1791,29.58136,30,868.5546493179985
10.85449,31.38986,40,788.798437837238
10.86017,31.38779,10,161.4841317115152
10.48273,33.42896,50,355.2969039394744
11.85408,25.74787,60,341.3515087127121
10.91196,31.48815,30,109.45075951701733
11.77539,27.83715,30,615.3926204538961
12.75136,26.99545,10,488.76457722073354
12.75155,26.9976,60,860.6752060540991
12.75075,27.00216,30,388.5261321036942
12.66979,28.41533,60,257.6115189815637
13.28404,25.01195,10,576.4390840217709
12.74863,26.99237,50,633.9528913728504
11.63786,30.03894,30,899.5640614289839
11.64247,30.03977,50,104.75916011684978
11.57819,31.15143,30,711.0547536180161
11.57925,31.14561,40,297.7576914025544
11.79258,29.98701,10,735.524029050043
11.57754,31.15204,50,393.43603695935917
11.57864,31.14624,20,749.4769062060166
12.51784,26.07742,60,631.8164898875528
13.55394,23.43976,10,976.979569000232
11.46844,32.17692,20,353.8390986107354
11.48505,32.17671,10,195.20034984787623
11.49037,32.17777,40,803.6909840744569
11.49101,32.17436,40,201.59684784630608
11.49165,32.17095,40,542.1234057396846
11.49229,32.16754,40,910.3608744548042
11.49888,32.1618,60,839.2439797450364
11.4823,32.17776,50,270.9018117894868
11.48763,32.17881,30,274.70053205835165
11.48829,32.17541,60,877.030203795432
11.49361,32.17646,30,897.4620690669576
11.49427,32.17306,30,165.1343991614957
11.49494,32.16966,30,206.01696076256837
11.49626,32.16286,50,943.6031398668799
12.38358,28.07656,60,942.1063813033257
12.38758,28.07729,10,163.712574398485
12.64567,26.95539,50,691.9206937137991
12.6494,26.95606,60,964.0857570195951
12.65312,26.95673,40,956.4349037984765
13.27847,25.0033,50,214.05723552959665
12.65685,26.9574,20,247.8007495475194
12.64719,26.95328,40,613.3927745063737
12.65091,26.95394,10,490.4943604873303
12.65464,26.95461,10,623.3513087390377
12.65837,26.95527,40,735.9290616773029
12.66397,26.98919,20,887.6759835076257
12.71268,26.97439,10,114.46135639739
13.28465,25.00821,20,274.3897749845977
12.72014,26.97573,40,882.1845008247933
12.72386,26.97639,50,781.2098022172826
11.87713,32.68222,40,422.7159752525343
12.72759,26.97706,30,172.88436007939197
12.72681,26.98162,10,802.8297083940051
12.73054,26.98229,40,417.7677203578711
12.73349,26.98753,50,751.8088953764491
12.73427,26.98296,10,924.9548409796156
11.68861,32.80849,10,385.02901069361786
12.73722,26.9882,50,233.1283194969025
12.74095,26.98887,40,932.2031889438897
12.7439,26.9941,60,167.8205780817795
12.74468,26.98953,20,468.0461016682623
11.68733,32.80673,40,956.2939804751769
13.27786,25.00704,30,549.4257977346035
12.74763,26.99477,40,922.1958014399564
12.75059,27.00001,20,113.51874866192189
12.74782,26.99693,20,381.5723537755334
10.29658,19.26519,30,312.6655533930817
11.07056,13.63464,10,629.7517788453853
10.21445,19.64161,50,440.95145733493325
10.20496,19.6318,20,527.4205637901971
10.20435,19.63589,30,466.2391470214847
11.03454,13.1827,40,239.99474657744534
11.03411,13.18626,40,749.232481148694
11.03367,13.18984,40,481.27074478687666
11.03323,13.19343,20,299.6835151586082
9.54184,23.66059,30,162.94542206087314
7.57406,34.68732,40,539.0794582193187
7.573,34.69279,40,910.1099184941265
9.53848,23.66006,20,732.4750536566507
7.5674,34.6861,20,126.10957602460229
10.31813,18.52041,40,150.16808417101709
9.53512,23.65952,40,656.7947182941859
9.71441,22.47463,60,378.0721936202674
9.71109,22.4741,30,810.8004072312984
9.5987,23.15915,50,311.82270773833613
10.14668,19.55574,30,838.1035190913693
9.6539,22.70803,60,858.9424614767617
11.03406,13.183,10,912.1113687475073
11.03359,13.18656,20,801.4367791313846
11.03313,13.19014,50,731.5374339696486
7.57024,34.68628,10,231.9710149073488
7.56922,34.69178,40,513.2936524125182
9.63292,22.69035,50,547.2562645197154
9.6296,22.68982,40,724.4770395202295
9.18571,25.40813,50,230.88868414890769
9.58747,22.91244,60,248.8179655815555
10.08348,19.64797,10,187.49269745301797
7.65654,33.97369,10,492.41335630619506
9.47009,23.53885,50,762.7938186023198
9.46674,23.53828,40,321.09931251819154
9.46617,23.54184,10,571.7212179908865
10.05369,19.70164,20,200.27667255148066
9.60808,22.61125,40,960.0647356946193
9.60477,22.61071,50,602.6142889345258
9.60035,22.61715,40,202.8652351004106
9.14615,25.40153,40,807.3085430715086
